cortellis_condition,icd9,icd9_category,icd9_sub_chapter,icd9_chapter,malignant_not_specified
vibrio cholerae infection,001,Cholera,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
salmonella typhi infection,002,Typhoid and paratyphoid fevers,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
salmonella infection,003,Other salmonella infections,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
salmonella typhimurium infection,003,Other salmonella infections,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
shigella infection,004,Shigellosis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
shigella flexneri infection,004,Shigellosis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
shigella sonnei infection,004,Shigellosis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
shigella dysenteriae infection,004,Shigellosis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
shigella boydii infection,004,Shigellosis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
clostridium botulinum infection,005,Other food poisoning (bacterial),Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
food poisoning,005,Other food poisoning (bacterial),Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
amoeba infection,006,Amebiasis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
amoebic liver abscess,006,Amebiasis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
giardia lamblia infection,007,Other protozoal intestinal diseases,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
cryptosporidium infection,007,Other protozoal intestinal diseases,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
entamoeba histolytica infection,007,Other protozoal intestinal diseases,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
norwalk virus infection,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
rotavirus infection,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
clostridium infection,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
intestine infection,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
clostridium difficile infection,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
pseudomembranous colitis,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
yersinia infection,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
campylobacter jejuni infection,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
enterobacter aerogenes infection,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
streptococcus oralis infection,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
norovirus infection,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,
