cortellis_condition,icd9,icd9_category,icd9_sub_chapter,icd9_chapter,malignant_not_specified
vibrio cholerae infection,001,Cholera,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
salmonella typhi infection,002,Typhoid and paratyphoid fevers,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
salmonella infection,003,Other salmonella infections,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
shigella infection,004,Shigellosis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
shigella flexneri infection,004,Shigellosis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
shigella sonnei infection,004,Shigellosis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
shigella dysenteriae infection,004,Shigellosis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
shigella boydii infection,004,Shigellosis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
clostridium botulinum infection,005,Other food poisoning (bacterial),Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
giardia lamblia infection,007,Other protozoal intestinal diseases,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
norwalk virus infection,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
rotavirus infection,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
clostridium infection,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
intestine infection,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
clostridium difficile infection,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
pseudomembranous colitis,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
yersinia infection,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
treponema infection,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
campylobacter jejuni infection,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
enterobacter aerogenes infection,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
streptococcus oralis infection,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
norovirus infection,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,0
mycobacterium tuberculosis infection,011,Pulmonary tuberculosis,Tuberculosis,Infectious And Parasitic Diseases,0
yersinia pestis infection,020,Plague,Zoonotic Bacterial Diseases,Infectious And Parasitic Diseases,0
francisella tularensis infection,021,Tularemia,Zoonotic Bacterial Diseases,Infectious And Parasitic Diseases,0
bacillus anthracis infection,022,Anthrax,Zoonotic Bacterial Diseases,Infectious And Parasitic Diseases,0
brucella infection,023,Brucellosis,Zoonotic Bacterial Diseases,Infectious And Parasitic Diseases,0
melioidosis,025,Melioidosis,Zoonotic Bacterial Diseases,Infectious And Parasitic Diseases,0
listeria monocytogenes infection,027,Other zoonotic bacterial diseases,Zoonotic Bacterial Diseases,Infectious And Parasitic Diseases,0
pasteurellaceae infection,027,Other zoonotic bacterial diseases,Zoonotic Bacterial Diseases,Infectious And Parasitic Diseases,0
mycobacterium leprae infection,030,Leprosy,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
group a streptococcus infection,030,Leprosy,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
mycobacterium infection,031,Diseases due to other mycobacteria,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
corynebacterium diphtheriae infection,032,Diphtheria,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
corynebacterium infection,032,Diphtheria,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
bordetella pertussis infection,033,Whooping cough,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
streptococcus mutans infection,034,Streptococcal sore throat and scarlet fever,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
erysipelas,035,Erysipelas,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
neisseria meningitidis infection,036,Meningococcal infection,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
neisseria meningitidis meningitis,036,Meningococcal infection,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
micrococcaceae infection,038,Septicemia,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
moraxella catarrhalis infection,038,Septicemia,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
actinomyces israelii infection,039,Actinomycotic infections,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
