indication,icd9,ccs,ccs_label,nccs,cancer
mycobacterium tuberculosis infection,11,1,Tuberculosis,1,0
micrococcaceae infection,38,2,Septicemia (except in labor),1,0
moraxella catarrhalis infection,38,2,Septicemia (except in labor),1,0
francisella tularensis infection,21,3,Bacterial infection; unspecified site,5,0
bacillus anthracis infection,22,3,Bacterial infection; unspecified site,5,0
brucella infection,23,3,Bacterial infection; unspecified site,1,0
melioidosis,25,3,Bacterial infection; unspecified site,1,0
listeria monocytogenes infection,27,3,Bacterial infection; unspecified site,1,0
pasteurellaceae infection,27,3,Bacterial infection; unspecified site,1,0
mycobacterium leprae infection,30,3,Bacterial infection; unspecified site,1,0
group a streptococcus infection,30,3,Bacterial infection; unspecified site,1,0
mycobacterium infection,31,3,Bacterial infection; unspecified site,3,0
bordetella pertussis infection,33,3,Bacterial infection; unspecified site,1,0
neisseria meningitidis infection,36,3,Bacterial infection; unspecified site,6,0
neisseria meningitidis meningitis,36,3,Bacterial infection; unspecified site,6,0
actinomyces israelii infection,39,3,Bacterial infection; unspecified site,3,0
bacterial infection,41,3,Bacterial infection; unspecified site,1,0
clostridium tetani infection,41,3,Bacterial infection; unspecified site,1,0
enterobacter infection,41,3,Bacterial infection; unspecified site,1,0
enterococcus faecium infection,41,3,Bacterial infection; unspecified site,1,0
escherichia coli infection,41,3,Bacterial infection; unspecified site,1,0
gram negative bacterium infection,41,3,Bacterial infection; unspecified site,1,0
gram positive bacterium infection,41,3,Bacterial infection; unspecified site,1,0
haemophilus influenzae infection,41,3,Bacterial infection; unspecified site,1,0
helicobacter pylori infection,41,3,Bacterial infection; unspecified site,1,0
streptococcus group b infection,41,3,Bacterial infection; unspecified site,1,0
legionella infection,41,3,Bacterial infection; unspecified site,1,0
mycoplasma infection,41,3,Bacterial infection; unspecified site,1,0
pseudomonas aeruginosa infection,41,3,Bacterial infection; unspecified site,1,0
staphylococcus aureus infection,41,3,Bacterial infection; unspecified site,1,0
staphylococcus infection,41,3,Bacterial infection; unspecified site,1,0
streptococcus infection,41,3,Bacterial infection; unspecified site,1,0
campylobacter infection,41,3,Bacterial infection; unspecified site,1,0
proteus mirabilis infection,41,3,Bacterial infection; unspecified site,1,0
bacterial skin infection,41,3,Bacterial infection; unspecified site,1,0
enterobacteriaceae infection,41,3,Bacterial infection; unspecified site,1,0
hemolytic streptococcus infection,41,3,Bacterial infection; unspecified site,1,0
helicobacter infection,41,3,Bacterial infection; unspecified site,1,0
klebsiella infection,41,3,Bacterial infection; unspecified site,1,0
esophageal function disorder,41,3,Bacterial infection; unspecified site,1,0
haemophilus infection,41,3,Bacterial infection; unspecified site,1,0
mrsa infection,41,3,Bacterial infection; unspecified site,1,0
bacteroides infection,41,3,Bacterial infection; unspecified site,1,0
bacteroides fragilis infection,41,3,Bacterial infection; unspecified site,1,0
bacillus infection,41,3,Bacterial infection; unspecified site,1,0
staphylococceae infection,41,3,Bacterial infection; unspecified site,1,0
streptococcaceae infection,41,3,Bacterial infection; unspecified site,1,0
citrobacter infection,41,3,Bacterial infection; unspecified site,1,0
morganella infection,41,3,Bacterial infection; unspecified site,1,0
proteus infection,41,3,Bacterial infection; unspecified site,1,0
moraxella infection,41,3,Bacterial infection; unspecified site,1,0
pseudomonas infection,41,3,Bacterial infection; unspecified site,1,0
beta-hemolytic streptococcus infection,41,3,Bacterial infection; unspecified site,1,0
streptococcus pyogenes infection,41,3,Bacterial infection; unspecified site,1,0
streptococcus agalactiae infection,41,3,Bacterial infection; unspecified site,1,0
enterococcus infection,41,3,Bacterial infection; unspecified site,1,0
enterococcus faecalis infection,41,3,Bacterial infection; unspecified site,1,0
dacryocystitis,41,3,Bacterial infection; unspecified site,1,0
bifidobacterium infection,41,3,Bacterial infection; unspecified site,1,0
haemophilus parainfluenzae infection,41,3,Bacterial infection; unspecified site,1,0
morganella morganii infection,41,3,Bacterial infection; unspecified site,1,0
bacteroides thetaiotaomicron infection,41,3,Bacterial infection; unspecified site,1,0
enterobacter cloacae infection,41,3,Bacterial infection; unspecified site,1,0
propionibacterium infection,41,3,Bacterial infection; unspecified site,1,0
fusobacterium infection,41,3,Bacterial infection; unspecified site,1,0
staphylococcus epidermidis infection,41,3,Bacterial infection; unspecified site,1,0
viridans group streptococcus infection,41,3,Bacterial infection; unspecified site,1,0
peptostreptococcus infection,41,3,Bacterial infection; unspecified site,1,0
bacteroides uniformis infection,41,3,Bacterial infection; unspecified site,1,0
