drug_name_id,drugname,odrugname,Brand,Brand0,Brand1,Brand2,Brand3,Brand4,Brand5,Brand6,Brand7,Brand8,Brand9,Brand10,Brand11,Brand12,Brand13,Brand14,Brand15,Brand16,Brand17,Brand18,Brand19,Brand20,Brand21,Brand22,Brand23,Brand24,Brand25,Brand26,Brand27,Brand28,Brand29,Brand30,applno1,DrugName1,applno2,DrugName2,applno3,DrugName3,applno4,DrugName4,applno5,DrugName5,applno6,DrugName6,applno7,DrugName7,applno8,DrugName8,applno9,DrugName9,applno10,DrugName10,applno11,DrugName11,date,year,month,brandname,indication,dstatus,action,otheraction,tech,ndablanumber,ndabla,submissiondate,submissiondatesource,priorityreview,accelerated,fasttrack,orphandrug,breakthrough,brkthrudate,manufacturer,firmtypesymbol,firm_public,firm_revenue,firm_revenue_lag_1,firm_revenue_lag_2,firm_revenue_lag_3,firm_revenue_lag_4,firm_revenue_lag_5,firm_grossprofit,firm_rd,firm_rd_supplemental,acquiredfirmrevenueinyearof,acquiredfirmdatelastrevenue,acquiredfirmyearlastrevenue,jv_dummy,firm_notes,in_cancerfile,drug_notes,revenue,gprofit,rnd,revenuelag1,revenuelag2,revenuelag3,revenuelag4,revenuelag5,DA,icd9,atc2
575,"PASIREOTIDE PAMOATE (SUSTAINED RELEASE), NOVARTIS","SOM-230C; SOM-230C; SIGNIFOR LAR; PASIREOTIDE; PASIREOTIDE LAR; PASIREOTIDE LAR; PASIREOTIDE PAMOATE; PASIREOTIDE PAMOATE (SUSTAINED RELEASE), NOVARTIS","SOM-230C; SOM-230C; SIGNIFOR LAR; PASIREOTIDE; PASIREOTIDE LAR; PASIREOTIDE LAR; PASIREOTIDE PAMOATE; PASIREOTIDE PAMOATE (SUSTAINED RELEASE), NOVARTIS","PASIREOTIDE PAMOATE (SUSTAINED RELEASE), NOVARTIS",SOM-230C,SOM-230C,SIGNIFOR LAR,PASIREOTIDE,PASIREOTIDE LAR,PASIREOTIDE LAR,PASIREOTIDE PAMOATE,"PASIREOTIDE PAMOATE (SUSTAINED RELEASE), NOVARTIS",,,,,,,,,,,,,,,,,,,,,,,203255,PASIREOTIDE PAMOATE,,,,,,,,,,,,,,,,,,,,,2014-12-15,2014,12,Signifor LAR,acromegaly,REGISTERED,SOMATOSTATIN 1 RECEPTOR AGONIST; SOMATOSTATIN 2 RECEPTOR AGONIST; SOMATOSTATIN 3 RECEPTOR AGONIST; SOMATOSTATIN 5 RECEPTOR AGONIST,ACTH RELEASE INHIBITOR; ANTICANCER; GROWTH HORMONE RELEASE INHIBITOR,BIOLOGICAL THERAPEUTIC; CONTROLLED RELEASE FORMULATION; INTRAMUSCULAR FORMULATION; PEPTIDE; SUSTAINED RELEASE FORMULATION,203255,NDA,2013-11-15,fda,0,0,0,0,0,,novartis,NYSE: NVS,1,53634,52716,51971,59375,51561,45075,36289,9086,9086,,,,,,,,53634,36289,9086,52716,51971,59375,51561,45075,,253,A10
413,LANREOTIDE,"ANGIOPEPTIN; BIM-23014C; BN-52030; DC13-116; ITM-014; ITM-014N; SOMATULINE AUTOGEL; SOMATULINE DEPOT; SOMATULINE SA; DERMOPEPTIN; IPSTYL; LANREOTIDE; LANREOTIDE (DEPOT FORMULATION), TULANE UNIVERSITY/IPSEN; LANREOTIDE ACETATE; SOMATULINE","ANGIOPEPTIN; BIM-23014C; BN-52030; DC13-116; ITM-014; ITM-014N; SOMATULINE AUTOGEL; SOMATULINE DEPOT; SOMATULINE SA; DERMOPEPTIN; IPSTYL; LANREOTIDE; LANREOTIDE (DEPOT FORMULATION), TULANE UNIVERSITY/IPSEN; LANREOTIDE ACETATE; SOMATULINE",LANREOTIDE,ANGIOPEPTIN,BIM-23014C,BN-52030,DC13-116,ITM-014,ITM-014N,SOMATULINE AUTOGEL,SOMATULINE DEPOT,SOMATULINE SA,DERMOPEPTIN,IPSTYL,LANREOTIDE,"LANREOTIDE (DEPOT FORMULATION), TULANE UNIVERSITY/IPSEN",LANREOTIDE ACETATE,SOMATULINE,,,,,,,,,,,,,,,,22074,LANREOTIDE ACETATE,22074,LANREOTIDE ACETATE,,,,,,,,,,,,,,,,,,,2007-08-30,2007,8,Somatuline Depot,acromegaly,REGISTERED,INSULIN-LIKE GROWTH FACTOR 1 ANTAGONIST; SOMATOSTATIN RECEPTOR AGONIST,ANTI-INFLAMMATORY; ANTICANCER; ANTIHYPERTENSIVE; GROWTH HORMONE RELEASE INHIBITOR; VASOPROTECTANT,BIOLOGICAL THERAPEUTIC; GEL FORMULATION; INTRAMUSCULAR FORMULATION; PEPTIDE; SOLUTION; SUBCUTANEOUS FORMULATION; SUSTAINED RELEASE FORMULATION; TRANSDERMAL FORMULATION; TRANSDERMAL GEL FORMULATION,022074,NDA,2006-10-27,fda,0,0,0,1,0,,ipsen biopharm,EPA: IPN,1,1451.2,1247.3,1011.3,1103.2,929.2,731.8,1160.6,269.6,269.6,,,,,biomeasure changed name to ipsen,,,,,,,,,,,,253,A10
304,"FLUOCINOLONE ACETONIDE (INTRAOCULAR IMPLANT, MEDIDUR), ALIMERA/PSIVIDA","DIABETIC RETINOPATHY THERAPY (INTRAOCULAR IMPLANT, MEDIDUR), ALIMERA/PSIVIDA; ILUVIEN; MEDIDUR; MEDIDUR FA; DIABETIC MACULAR EDEMA THERAPY, ALIMERA/CONTROL DELIVERY SYSTEMS; FLUOCINOLONE ACETONIDE; FLUOCINOLONE ACETONIDE (INTRAOCULAR IMPLANT, MEDIDUR), ALIMERA/PSIVIDA","DIABETIC RETINOPATHY THERAPY (INTRAOCULAR IMPLANT, MEDIDUR), ALIMERA/PSIVIDA; ILUVIEN; MEDIDUR; MEDIDUR FA; DIABETIC MACULAR EDEMA THERAPY, ALIMERA/CONTROL DELIVERY SYSTEMS; FLUOCINOLONE ACETONIDE; FLUOCINOLONE ACETONIDE (INTRAOCULAR IMPLANT, MEDIDUR), ALIMERA/PSIVIDA","FLUOCINOLONE ACETONIDE (INTRAOCULAR IMPLANT, MEDIDUR), ALIMERA/PSIVIDA","DIABETIC RETINOPATHY THERAPY (INTRAOCULAR IMPLANT, MEDIDUR), ALIMERA/PSIVIDA",ILUVIEN,MEDIDUR,MEDIDUR FA,"DIABETIC MACULAR EDEMA THERAPY, ALIMERA/CONTROL DELIVERY SYSTEMS",FLUOCINOLONE ACETONIDE,"FLUOCINOLONE ACETONIDE (INTRAOCULAR IMPLANT, MEDIDUR), ALIMERA/PSIVIDA",,,,,,,,,,,,,,,,,,,,,,,,201923,FLUOCINOLONE ACETONIDE,,,,,,,,,,,,,,,,,,,,,2014-09-26,2014,9,Iluvien,diabetic macular edema,REGISTERED,GLUCOCORTICOID AGONIST,ANTI-INFLAMMATORY; OPHTHALMOLOGICAL CORTICOSTEROID; STEROIDAL ANTI-INFLAMMATORY,CONTROLLED RELEASE FORMULATION; OPHTHALMIC DRUG IMPLANT; OPHTHALMIC FORMULATION; SMALL MOLECULE THERAPEUTIC; STEROID; SUSTAINED RELEASE FORMULATION,201923,NDA,2010-06-30,fda,1,0,1,0,0,,alimera sciences,NASDAQ: ALIM,1,8.423,1.872,,,,,6.981,11.811,7.6,,,,,,,,,,,,,,,,,250,A10
260,ETEPLIRSEN,"AVI-4225; AVI-4658; EXONDYS 51; EXONDYS 51; ANTISENSE THERAPY (ESPRIT, MUSCULAR DYSTROPHY), SAREPTA THERAPEUTICS; ETEPLIRSEN; MUSCULAR DYSTROPHY THERAPY (ESPRIT), AVI BIOPHARMA/ERCOLE BIOTECH","AVI-4225; AVI-4658; EXONDYS 51; EXONDYS 51; ANTISENSE THERAPY (ESPRIT, MUSCULAR DYSTROPHY), SAREPTA THERAPEUTICS; ETEPLIRSEN; MUSCULAR DYSTROPHY THERAPY (ESPRIT), AVI BIOPHARMA/ERCOLE BIOTECH",ETEPLIRSEN,AVI-4225,AVI-4658,EXONDYS 51,EXONDYS 51,"ANTISENSE THERAPY (ESPRIT, MUSCULAR DYSTROPHY), SAREPTA THERAPEUTICS",ETEPLIRSEN,"MUSCULAR DYSTROPHY THERAPY (ESPRIT), AVI BIOPHARMA/ERCOLE BIOTECH",,,,,,,,,,,,,,,,,,,,,,,,206488,ETEPLIRSEN,,,,,,,,,,,,,,,,,,,,,2016-09-19,2016,9,Exondys 51,duchenne dystrophy,REGISTERED,DYSTROPHIN STIMULATOR,ANTISENSE OLIGONUCLEOTIDE INHIBITOR,BIOLOGICAL THERAPEUTIC; INFUSION; INTRAMUSCULAR FORMULATION; INTRAVENOUS FORMULATION; OLIGONUCLEOTIDE ANTISENSE; RNA TECHNOLOGY,206488,NDA,2015-06-26,fda,1,1,1,1,0,,sarepta therapeutics,NASDAQ: SRPT,1,5.4,1.3,9.8,14.2,37.3,47,-180.7,,188.3,,,,,,,,,,,,,,,,,359,A10
683,"SOMATROPIN BIOSIMILAR, SANDOZ","OMNITROPE; PROMNITROPE; SOMATROPIN BS S.C. INJECTION 5MG / 10MG (SANDOZ); SOMATROPIN; SOMATROPIN BIOSIMILAR, SANDOZ","OMNITROPE; PROMNITROPE; SOMATROPIN BS S.C. INJECTION 5MG / 10MG (SANDOZ); SOMATROPIN; SOMATROPIN BIOSIMILAR, SANDOZ","SOMATROPIN BIOSIMILAR, SANDOZ",OMNITROPE,PROMNITROPE,SOMATROPIN BS S.C. INJECTION 5MG / 10MG (SANDOZ),SOMATROPIN,"SOMATROPIN BIOSIMILAR, SANDOZ",,,,,,,,,,,,,,,,,,,,,,,,,,21426,SOMATROPIN RECOMBINANT,,,,,,,,,,,,,,,,,,,,,2006-05-30,2006,5,Omnitrope,growth disorder,REGISTERED,GROWTH HORMONE LIGAND; GROWTH HORMONE RECEPTOR AGONIST,,BIOLOGICAL THERAPEUTIC; BIOSIMILAR PRODUCT; LIQUID FORMULATION; PROTEIN RECOMBINANT; SOLUTION; SUBCUTANEOUS FORMULATION,021426,NDA,2001-12-27,fda,0,0,0,0,0,,novartis,NYSE: NVS,1,35105,29753,27277,24930,20877,18762,25694,5321,5321,,,,,,,,35105,25694,5321,29753,27277,24930,20877,18762,,253,A10
682,"SOMATROPIN BIOSIMILAR, LG LIFE SCIENCES","EUTROPIN; VALTROPIN; GROWTH HORMONE, LG CHEM; HUMAN GROWTH HORMONE, LG CHEM; HUMAN GROWTH HORMONE, LG LIFE SCIENCES; SOMATROPIN; SOMATROPIN BIOSIMILAR, LG LIFE SCIENCES","EUTROPIN; VALTROPIN; GROWTH HORMONE, LG CHEM; HUMAN GROWTH HORMONE, LG CHEM; HUMAN GROWTH HORMONE, LG LIFE SCIENCES; SOMATROPIN; SOMATROPIN BIOSIMILAR, LG LIFE SCIENCES","SOMATROPIN BIOSIMILAR, LG LIFE SCIENCES",EUTROPIN,VALTROPIN,"GROWTH HORMONE, LG CHEM","HUMAN GROWTH HORMONE, LG CHEM","HUMAN GROWTH HORMONE, LG LIFE SCIENCES",SOMATROPIN,"SOMATROPIN BIOSIMILAR, LG LIFE SCIENCES",,,,,,,,,,,,,,,,,,,,,,,,21905,SOMATROPIN RECOMBINANT,,,,,,,,,,,,,,,,,,,,,2007-04-19,2007,4,Valtropin,growth disorder,REGISTERED,GROWTH HORMONE LIGAND,,BIOLOGICAL THERAPEUTIC; BIOSIMILAR PRODUCT; PROTEIN RECOMBINANT; SUBCUTANEOUS FORMULATION,021905,NDA,2005-11-30,fda,0,0,0,0,0,,LG life sciences,068870.KS,1,274,237.6,211.1,506.4,150.2,117.5,151.4,48,51.1,,,,,,,,,,,,,,,,,253,A10
382,INSULIN DEGLUDEC,"DEGLUDEC; NN-1250; SIBA; TRESIBA; TRESIBA; TRESIBA FLEXTOUCH; TRESIBA FLEXTOUCH; TRESIBA PENFIL; TRESIBA PENFIL; INSULIN DEGLUDEC; INSULIN-454; NEXT-GENERATION INSULIN ANALOG (DIABETES), NOVO NORDISK; SOLUBLE INSULIN BASAL ANALOG","DEGLUDEC; NN-1250; SIBA; TRESIBA; TRESIBA; TRESIBA FLEXTOUCH; TRESIBA FLEXTOUCH; TRESIBA PENFIL; TRESIBA PENFIL; INSULIN DEGLUDEC; INSULIN-454; NEXT-GENERATION INSULIN ANALOG (DIABETES), NOVO NORDISK; SOLUBLE INSULIN BASAL ANALOG",INSULIN DEGLUDEC,DEGLUDEC,NN-1250,SIBA,TRESIBA,TRESIBA,TRESIBA FLEXTOUCH,TRESIBA FLEXTOUCH,TRESIBA PENFIL,TRESIBA PENFIL,INSULIN DEGLUDEC,INSULIN-454,"NEXT-GENERATION INSULIN ANALOG (DIABETES), NOVO NORDISK",SOLUBLE INSULIN BASAL ANALOG,,,,,,,,,,,,,,,,,,203314,INSULIN DEGLUDEC,,,,,,,,,,,,,,,,,,,,,2015-09-25,2015,9,Tresiba,insulin dependent diabetes,REGISTERED,INSULIN LIGAND; INSULIN RECEPTOR AGONIST,HUMAN INSULIN LONG ACTING PRODUCT; HYPOGLYCEMIC AGENT,BIOLOGICAL THERAPEUTIC; CLONING TECHNOLOGY; DAILY DOSING; PEPTIDE; SOLUTION; SUBCUTANEOUS FORMULATION; SUSTAINED RELEASE FORMULATION,203314,NDA,2011-09-29,fda,0,0,0,0,0,,novo nordisk,NYSE: NVO,1,15706.8,14434,15428.3,13788.5,11595.7,10933.9,13350.9,1945.03,1980.4,,,,,,,,15706.8,13350.9,1945.03,14434,15428.3,13788.5,11595.7,10933.9,,250,A10
387,"INSULIN GLARGINE BIOSIMILAR, ELI LILLY/BOEHRINGER","ABASAGLAR; ABASRIA; BASAGLAR; LY IGLAR; LY-2963016; INSULIN GLARGINE; INSULIN GLARGINE BIOSIMILAR, ELI LILLY/BOEHRINGER; INSULIN GLARGINE PRODUCT (BASAL INSULIN, DIABETES, SC), ELI LILLY/BOEHRINGER INGELHEIM","ABASAGLAR; ABASRIA; BASAGLAR; LY IGLAR; LY-2963016; INSULIN GLARGINE; INSULIN GLARGINE BIOSIMILAR, ELI LILLY/BOEHRINGER; INSULIN GLARGINE PRODUCT (BASAL INSULIN, DIABETES, SC), ELI LILLY/BOEHRINGER INGELHEIM","INSULIN GLARGINE BIOSIMILAR, ELI LILLY/BOEHRINGER",ABASAGLAR,ABASRIA,BASAGLAR,LY IGLAR,LY-2963016,INSULIN GLARGINE,"INSULIN GLARGINE BIOSIMILAR, ELI LILLY/BOEHRINGER","INSULIN GLARGINE PRODUCT (BASAL INSULIN, DIABETES, SC), ELI LILLY/BOEHRINGER INGELHEIM",,,,,,,,,,,,,,,,,,,,,,,205692,INSULIN GLARGINE,,,,,,,,,,,,,,,,,,,,,2015-12-16,2015,12,Basaglar,insulin dependent diabetes,REGISTERED,INSULIN LIGAND; INSULIN RECEPTOR AGONIST,HUMAN INSULIN LONG ACTING PRODUCT; HYPOGLYCEMIC AGENT,BIOLOGICAL THERAPEUTIC; BIOSIMILAR PRODUCT; PROTEIN RECOMBINANT; SUBCUTANEOUS FORMULATION,205692,NDA,2014-10-17,fda,0,0,0,0,0,,eli lilly,NYSE: LLY,1,19958.7,19615.6,23113.1,22603.4,24286.5,23076,15074.5,4796.4,4796.4,,,,,,,,19958.7,15074.5,4796.4,19615.6,23113.1,22603.4,24286.5,23076,,250,A10
385,"INSULIN GLARGINE (NEW FORMULATION), SANOFI","EDOMLUS; GLA-300; GLARGINE U300; HOE901-U300; LAMBETO; LANTUS XR; LANTUS XR; LANTUS XR INJECTION SOLOSTAR; LANTUS XR INJECTION SOLOSTAR; LANTUX XR SOLOSTAR; LANTUX XR SOLOSTAR; TOUJEO; TOUJEO; TOUJEO SOLOSTAR; TOUJEO SOLOSTAR; INSULIN GLARGINE; INSULIN GLARGINE (NEW FORMULATION), SANOFI; NEW INSULIN U300","EDOMLUS; GLA-300; GLARGINE U300; HOE901-U300; LAMBETO; LANTUS XR; LANTUS XR; LANTUS XR INJECTION SOLOSTAR; LANTUS XR INJECTION SOLOSTAR; LANTUX XR SOLOSTAR; LANTUX XR SOLOSTAR; TOUJEO; TOUJEO; TOUJEO SOLOSTAR; TOUJEO SOLOSTAR; INSULIN GLARGINE; INSULIN GLARGINE (NEW FORMULATION), SANOFI; NEW INSULIN U300","INSULIN GLARGINE (NEW FORMULATION), SANOFI",EDOMLUS,GLA-300,GLARGINE U300,HOE901-U300,LAMBETO,LANTUS XR,LANTUS XR,LANTUS XR INJECTION SOLOSTAR,LANTUS XR INJECTION SOLOSTAR,LANTUX XR SOLOSTAR,LANTUX XR SOLOSTAR,TOUJEO,TOUJEO,TOUJEO SOLOSTAR,TOUJEO SOLOSTAR,INSULIN GLARGINE,"INSULIN GLARGINE (NEW FORMULATION), SANOFI",NEW INSULIN U300,,,,,,,,,,,,,206538,INSULIN GLARGINE RECOMBINANT,,,,,,,,,,,,,,,,,,,,,2015-02-25,2015,2,Toujeo Solostar,insulin dependent diabetes,REGISTERED,INSULIN LIGAND; INSULIN RECEPTOR AGONIST,HUMAN INSULIN INTERMEDIATE ACTING PRODUCT; HUMAN INSULIN LONG ACTING PRODUCT; HYPOGLYCEMIC AGENT,BIOLOGICAL THERAPEUTIC; PROTEIN RECOMBINANT; SOLUTION; SUBCUTANEOUS FORMULATION; SUSTAINED RELEASE FORMULATION,206538,NDA,2014-04-25,fda,0,0,0,0,0,,sanofi,NYSE: SNY,1,37861.5,38732.7,43091.6,47408.5,45544.7,45640,26002.7,5519.41,5519.4,,,,,,,,37861.5,26002.7,5519.41,38732.7,43091.6,47408.5,45544.7,45640,,250,A10
381,"INSULIN (INHALED, TECHNOSPHERE), MANNKIND/SANOFI","AFRESA; AFREZZA; SAR-439065; TECHNOSPHERE INSULIN; HUMAN INSULIN RDNA; INSULIN; INSULIN (INHALED, TECHNOSPHERE), MANNKIND/SANOFI; INSULIN (INHALED, TECHNOSPHERE), PHARMACEUTICAL DISCOVERY","AFRESA; AFREZZA; SAR-439065; TECHNOSPHERE INSULIN; HUMAN INSULIN RDNA; INSULIN; INSULIN (INHALED, TECHNOSPHERE), MANNKIND/SANOFI; INSULIN (INHALED, TECHNOSPHERE), PHARMACEUTICAL DISCOVERY","INSULIN (INHALED, TECHNOSPHERE), MANNKIND/SANOFI",AFRESA,AFREZZA,SAR-439065,TECHNOSPHERE INSULIN,HUMAN INSULIN RDNA,INSULIN,"INSULIN (INHALED, TECHNOSPHERE), MANNKIND/SANOFI","INSULIN (INHALED, TECHNOSPHERE), PHARMACEUTICAL DISCOVERY",,,,,,,,,,,,,,,,,,,,,,,17926,INSULIN PORK,22472,INSULIN RECOMBINANT HUMAN,,,,,,,,,,,,,,,,,,,2014-06-27,2014,6,Afrezza,insulin dependent diabetes,REGISTERED,INSULIN LIGAND; INSULIN RECEPTOR AGONIST,HUMAN INSULIN FAST ACTING PRODUCT; HUMAN INSULIN INTERMEDIATE ACTING PRODUCT; HYPOGLYCEMIC AGENT,BIOLOGICAL THERAPEUTIC; INHALANT FORMULATION; MICROPARTICLE FORMULATION; POWDER FORMULATION INHALANT; PROTEIN RECOMBINANT,022472,NDA,2009-03-16,fda,0,0,0,0,0,,mannkind,NASDAQ: MNKD,1,,,0,0.1,0.1,,,100.2,101.1,,,,,,,,,,,,,,,,,250,A10
