drug_name_id,drugname,odrugname,Brand,Brand0,Brand1,Brand2,Brand3,Brand4,Brand5,Brand6,Brand7,Brand8,Brand9,Brand10,Brand11,Brand12,Brand13,Brand14,Brand15,Brand16,Brand17,Brand18,Brand19,Brand20,Brand21,Brand22,Brand23,Brand24,Brand25,Brand26,Brand27,Brand28,Brand29,Brand30,applno1,DrugName1,applno2,DrugName2,applno3,DrugName3,applno4,DrugName4,applno5,DrugName5,applno6,DrugName6,applno7,DrugName7,applno8,DrugName8,applno9,DrugName9,applno10,DrugName10,applno11,DrugName11,date,year,month,brandname,indication,action,otheraction,tech,_merge,nda/bla number,nda/bla,submission date,submission date source,priority review,accelerated,fast track,orphan drug,breakthrough,brkthru date,manufacturer,firmtype/symbol,firm_public,firm_revenue,firm_revenue_lag_1,firm_revenue_lag_2,firm_revenue_lag_3,firm_revenue_lag_4,firm_revenue_lag_5,firm_grossprofit,firm_rd,firm_rd_supplemental,acquired firm revenue in year of acqusition,acquired firm date last revenue reported,acquired firm year last revenue reported,jv_dummy,firm_notes,in_cancerfile,drug_notes,bbw,url,index,indicationID,icd9,ccs,ccs_label,nccs,cancer
548,OROCHOL,"CVD 103-HGR; MUTACOL BERNA; OROCHOL; OROCHOL BERNA; OROCHOL E BERNA; PXVX-0200; PXVX-200; VAXCHORA; CHOLERA VACCINE (ORAL), BERNA; VACCINE (VIBRIO CHOLERAE), BERNA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-10T00:00:00Z,2016,6,Vaxchora,vibrio cholerae infection,,LIVE ATTENUATED BACTERIAL VACCINE; PROPHYLACTIC VACCINE,BIOLOGICAL THERAPEUTIC; ORAL FORMULATION,using only (2),125597,BLA,2015-10-15T00:00:00Z,fda,1,0,1,0,0,,paxvax,private,0,,,,,,,,,,,,,,,,,0,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125597,707,343,1,135,Intestinal infection,1,0
526,NP-018,"H-BAT; HEPTAVALENT EQUINE-DERIVED BOTULINUM ANTITOXIN; NP-018; BOTULINUM TOXIN IMMUNE GLOBULIN, CANGENE; BOTULINUM TOXIN IMMUNE GLOBULIN, EMERGENT BIOSOLUTIONS; BOTULISM ANTITOXIN (BAT), CANGENE; BOTULISM ANTITOXIN (BAT), EMERGENT BIOSOLUTIONS; IMMUNE GLOBULIN (BOTULISM), CANGENE; IMMUNE GLOBULIN (BOTULISM), EMERGENT BIOSOLUTIONS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-03-22T00:00:00Z,2013,3,BAT,clostridium botulinum infection,BOTULINUM TOXIN INHIBITOR,ANTIBACTERIAL,ANTIBODY FRAGMENT; BIOLOGICAL THERAPEUTIC; IMMUNOGLOBULIN; INTRAVENOUS FORMULATION,using only (2),125462,BLA,2012-09-20T00:00:00Z,fda,1,0,0,1,0,,cangene,TSX: CNJ,1,129.8,118.4,141.5,135.7,220.6,145,60.6,22,37.2,,,,,acquired by emergent biosolutions in 2014; cangene revenues for 12 months prior to following january are reported with exception of 2013 in which revenue dated 2/1/13 - 7/31/13 is reported scaled by a factor of 2,,,0,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125462,702,71,5,135,Intestinal infection,1,0
96,BEZLOTOXUMAB,"C DIFFICILE THERAPY (ANTI TOXIN-A AND TOXIN-B ANTIBODY COMBINATION), MEDAREX; CDA-1 + CDB-1; GS-CDA1 + MDX-1388; MBL-CDA1 + MBL-CDB1; MBL-CDB1; MDX-066 + MDX-1388; MDX-1388; MK-3415 + MK-6072; MK-3415A; MK-6072; ZINPLAVA; ACTOXUMAB + BEZLOTOXUMAB; BEZLOTOXUMAB; HUMANIZED MONOCLONAL ANTIBODY COMBINATION (C DIFFICILE ENTEROTOXINS A AND B, ULTIMAB), MERCK & CO/MEDAREX/MASSACHUSETTS BIOLOGIC LABORATORIES","C DIFFICILE THERAPY (ANTI TOXIN-A AND TOXIN-B ANTIBODY COMBINATION), MEDAREX; CDA-1 + CDB-1; GS-CDA1 + MDX-1388; MBL-CDA1 + MBL-CDB1; MBL-CDB1; MDX-066 + MDX-1388; MDX-1388; MK-3415 + MK-6072; MK-3415A; MK-6072; ZINPLAVA; ACTOXUMAB + BEZLOTOXUMAB; BEZLOTOXUMAB; HUMANIZED MONOCLONAL ANTIBODY COMBINATION (C DIFFICILE ENTEROTOXINS A AND B, ULTIMAB), MERCK & CO/MEDAREX/MASSACHUSETTS BIOLOGIC LABORATORIES",BEZLOTOXUMAB,"C DIFFICILE THERAPY (ANTI TOXIN-A AND TOXIN-B ANTIBODY COMBINATION), MEDAREX",CDA-1 + CDB-1,GS-CDA1 + MDX-1388,MBL-CDA1 + MBL-CDB1,MBL-CDB1,MDX-066 + MDX-1388,MDX-1388,MK-3415 + MK-6072,MK-3415A,MK-6072,ZINPLAVA,ACTOXUMAB + BEZLOTOXUMAB,BEZLOTOXUMAB,"HUMANIZED MONOCLONAL ANTIBODY COMBINATION (C DIFFICILE ENTEROTOXINS A AND B, ULTIMAB), MERCK & CO/MEDAREX/MASSACHUSETTS BIOLOGIC LABORATORIES",,,,,,,,,,,,,,,,,761046,BEZLOTOXUMAB,,,,,,,,,,,,,,,,,,,,,2016-10-21T00:00:00Z,2016,10,Zinplava,clostridium difficile infection,CLOSTRIDIUM DIFFICILE TOXIN B INHIBITOR,ANTIBACTERIAL; ANTIDIARRHOEAL,BIOLOGICAL THERAPEUTIC; INFUSION; INTRAVENOUS FORMULATION; MONOCLONAL ANTIBODY HUMAN; TOXIN BINDING PROTEIN,matched (3),761046,BLA,2015-11-17T00:00:00Z,fda,1,0,1,0,0,,merck,NYSE: MRK,1,39807,39498,42237,44033,47267,48047,26444,10065,6524,,,,,,,,0,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761046,626,995,8,135,Intestinal infection,1,0
645,ROTARIX,"444563; GSK-357941-A; GSK-444563; RIX-4414; ROTARIX; ROTARNIX; SB-444563; ROTAVIRUS VACCINE, AVANT/GSK; ROTAVIRUS VACCINE, AVANT/GLAXOSMITHKLINE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-04-03T00:00:00Z,2008,4,Rotarix,rotavirus infection,,LIVE ATTENUATED VIRAL VACCINE; PROPHYLACTIC VACCINE,BIOLOGICAL THERAPEUTIC; CELL CULTURE; FREEZE DRYING; ORAL FORMULATION; ORAL LIQUID FORMULATION; ORAL SUSPENSION FORMULATION,using only (2),125265,BLA,2007-06-04T00:00:00Z,fda,0,0,0,0,0,,glaxosmithkline,NYSE: GSK,1,35480.4,45147.6,45499.1,37229.2,38293.2,37593.1,27064.9,5108.18,5363.2,,,,,,,,0,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125265,716,294,8,135,Intestinal infection,1,0
646,ROTATEQ,"ROTATEQ; V-260; ROTAVIRUS VACCINE, AVENTIS PASTEUR MSD; ROTAVIRUS VACCINE, MERCK & CO; ROTAVIRUS VACCINE, SANOFI PASTEUR MSD; VACCINE (ROTAVIRUS), MERCK & CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03T00:00:00Z,2006,2,RotaTeq,rotavirus infection,,LIVE ATTENUATED VIRAL VACCINE; PROPHYLACTIC VACCINE,BIOLOGICAL THERAPEUTIC; ORAL FORMULATION; ORAL LIQUID FORMULATION; SOLUTION; VIRUS RECOMBINANT,using only (2),125122,BLA,2005-04-06T00:00:00Z,fda,0,0,0,0,0,,merck,NYSE: MRK,1,22636,22011.9,22972.8,22485.9,21445.8,21199,17371.3,3963.6,4020.4,,,,,,,,0,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125122,717,294,8,135,Intestinal infection,1,0
84,BEDAQUILINE,"JNJ-16175328-AAA; R-126987; R-207910; SIRTURO; TMC-207; ANTIBACTERIAL DIARYLQUINOLINES, JOHNSON & JOHNSON; ANTIBACTERIAL DIARYLQUINOLINES, TIBOTEC; BEDAQUILINE","JNJ-16175328-AAA; R-126987; R-207910; SIRTURO; TMC-207; ANTIBACTERIAL DIARYLQUINOLINES, JOHNSON & JOHNSON; ANTIBACTERIAL DIARYLQUINOLINES, TIBOTEC; BEDAQUILINE",BEDAQUILINE,JNJ-16175328-AAA,R-126987,R-207910,SIRTURO,TMC-207,"ANTIBACTERIAL DIARYLQUINOLINES, JOHNSON & JOHNSON","ANTIBACTERIAL DIARYLQUINOLINES, TIBOTEC",BEDAQUILINE,,,,,,,,,,,,,,,,,,,,,,,204384,BEDAQUILINE FUMARATE,,,,,,,,,,,,,,,,,,,,,2012-12-28T00:00:00Z,2012,12,Sirturo,mycobacterium tuberculosis infection,ATP SYNTHASE INHIBITOR,ANTIBACTERIAL MULTIDRUG RESISTANCE INHIBITOR,ANTIBIOTIC; ORAL FORMULATION; SMALL MOLECULE THERAPEUTIC; TABLET FORMULATION,matched (3),204384,NDA,2012-06-28T00:00:00Z,fda,1,1,1,1,0,,johnson and johnson,NYSE: JNJ,1,67224,65030,61587,61897,63747,61095,45566,7665,7665,,,,,,,,1,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204384,196,221,11,1,Tuberculosis,1,0
624,RAXIBACUMAB,"ABTHRAX; GSK-3068483; ANTI-ANTHRAX MONOCLONAL, HUMAN GENOME SCIENCES; RAXIBACUMAB","ABTHRAX; GSK-3068483; ANTI-ANTHRAX MONOCLONAL, HUMAN GENOME SCIENCES; RAXIBACUMAB",RAXIBACUMAB,ABTHRAX,GSK-3068483,"ANTI-ANTHRAX MONOCLONAL, HUMAN GENOME SCIENCES",RAXIBACUMAB,,,,,,,,,,,,,,,,,,,,,,,,,,,125349,RAXIBACUMAB,125349,RAXIBACUMAB,,,,,,,,,,,,,,,,,,,2012-12-14T00:00:00Z,2012,12,raxibacumab,bacillus anthracis infection,ANTHRAX PROTECTIVE ANTIGEN INHIBITOR,ANTIBACTERIAL,BIOLOGICAL THERAPEUTIC; IMMUNOGLOBULIN-G; INTRAVENOUS FORMULATION; LIQUID FORMULATION; MONOCLONAL ANTIBODY HUMAN,matched (3),125349,BLA,2012-06-15T00:00:00Z,fda,0,0,1,1,0,,glaxosmithkline,NYSE: GSK,1,42959.8,131,157.4,275.7,48.4,41.9,29874,6467.3,6467.3,215,2012-06-30T00:00:00Z,2012,,acquired by GSK in 2012,,,0,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125349,28,39,22,3,Bacterial infection; unspecified site,5,0
48,"ANTHRAX IMMUNE GLOBULIN INTRAVENOUS, EMERGENT BIOSOLUTIONS (CANGENE)","AIGIV, EMERGENT BIOSOLUTIONS (CANGENE); ANTHRASIL; NP-015; ANTHRAX IMMUNE GLOBULIN (INTRAVENOUS), CANGENE; ANTHRAX IMMUNE GLOBULIN INTRAVENOUS, EMERGENT BIOSOLUTIONS (CANGENE); IMMUNE GLOBULIN (ANTHRAX), CANGENE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-24T00:00:00Z,2015,3,Anthrasil,bacillus anthracis infection,ANTHRAX TOXIN INHIBITOR,ANTIBACTERIAL,ANTIBODY POLYCLONAL; BIOLOGICAL THERAPEUTIC; IMMUNOGLOBULIN-G; INTRAVENOUS FORMULATION,using only (2),125562,BLA,2014-07-25T00:00:00Z,fda,1,0,1,1,0,,emergent biosolutions,NYSE: EBS,1,489.3,404.5,129.8,118.4,141.5,135.7,272.5,,109.4,,,2014,,acquired by emergent biosolutions in 2014; cangene revenues for 12 months prior to following january are reported with exception of 2013 in which revenue dated 2/1/13 - 7/31/13 is reported scaled by a factor of 2,,,1,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125562,638,39,22,3,Bacterial infection; unspecified site,5,0
409,KINRIX,INFANRIX-DTPA-IPV; INFANRIX-IPV; KINRIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-06-24T00:00:00Z,2008,6,Kinrix,bordetella pertussis infection,,INACTIVATED VIRAL VACCINE; PROPHYLACTIC VACCINE; PROTEIN SUBUNIT VACCINE; TOXOID VACCINE,BIOLOGICAL THERAPEUTIC; DRUG COMBINATION; INTRAMUSCULAR FORMULATION,using only (2),125260,BLA,2007-04-09T00:00:00Z,fda,0,0,0,0,0,,glaxosmithkline,NYSE: GSK,1,35480.4,45147.6,45499.1,37229.2,38293.2,37593.1,27064.9,5108.18,5363.2,,,,,,,,0,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125260,693,47,33,3,Bacterial infection; unspecified site,1,0
95,BEXSERO,"4CMENB; BEXSERO; MB1 MENINGOCOCCAL B VACCINE, CHIRON; MB1 MENINGOCOCCAL B VACCINE, NOVARTIS; MB2 MENINGOCOCCAL B VACCINE, CHIRON; MB2 MENINGOCOCCAL B VACCINE, NOVARTIS; FIRST-GENERATION MENB VACCINE, CHIRON; FIRST-GENERATION MENB VACCINE, NOVARTIS; MENINGITIS B VACCINE, NOVARTIS; RMENB+OMV NZ; RECOMBINANT MENINGOCOCCAL B VACCINE (MENINGITIS B), CHIRON; RECOMBINANT MENINGOCOCCAL B VACCINE (MENINGITIS B), NOVARTIS; SECOND-GENERATION MENB VACCINE, CHIRON; SECOND-GENERATION MENB VACCINE, NOVARTIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-23T00:00:00Z,2015,1,Bexsero,neisseria meningitidis meningitis,,PROPHYLACTIC VACCINE; SUBUNIT VACCINE,ANTIGEN; BIOLOGICAL THERAPEUTIC; INTRAMUSCULAR FORMULATION; PROTEIN FUSION; PROTEIN RECOMBINANT; SUSPENSION,using only (2),125546,BLA,2014-06-17T00:00:00Z,cortellis,1,1,1,0,1,2014-04-07T00:00:00Z,novartis,NYSE: NVS,1,50359,53634,52716,51971,59375,51561,33234,8781,9472,,,,,,,,0,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125546,642,1811,36,3,Bacterial infection; unspecified site,6,0
