DrugID|Name|Code
92038|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
92035|DIAGNOSTIC AGENTS|T
92034|ANTIPSYCHOTICS|N5A
92034|NOOTROPICS|N6D
92030|CARDIOVASCULAR SYSTEM|C
92027|ANTIVIRALS FOR SYSTEMIC USE|J5
92010|ANTIHYPERTENSIVES|C2
92010|CALCIUM ANTAGONISTS|C8
92010|ANGIOTENSIN-II ANTAGONISTS, PLAIN|C9C
92008|NOOTROPICS|N6D
92008|Anti-Alzheimer products, cholinesterase inhibitors|N7D1
92007|NOOTROPICS|N6D
92007|Anti-Alzheimer products, cholinesterase inhibitors|N7D1
91984|BPH (benign prostatic hypertrophy) products |G4C
91983|SYSTEMIC ANTIBACTERIALS|J1
91983|CEPHALOSPORINS|J1D
91982|BPH (benign prostatic hypertrophy) products |G4C
91979|ANALGESICS|N2
91978|ANTIHYPERTENSIVES|C2
91961|WOUND HEALING AGENTS|D3
91960|ALKYLATING AGENTS|L1A
91959|ANTHELMINTICS, EXCLUDING SCHISTOSOMICIDES|P1B
91950|BPH (benign prostatic hypertrophy) products |G4C
91946|IMMUNOSTIMULATING AGENTS|L3
91944|RADIODIAGNOSTIC AGENTS|T1G
91937|SYSTEMIC ANTIBACTERIALS|J1
91935|ANAESTHETICS, LOCAL|N1B
91935|ANTI-EPILEPTICS|N3
91934|SYSTEMIC ANTIBACTERIALS|J1
91934|MACROLIDES AND SIMILAR TYPES|J1F
91932|ANTIVIRALS FOR SYSTEMIC USE|J5
91928|NOOTROPICS|N6D
91924|CARDIOVASCULAR SYSTEM|C
91918|DERMATOLOGICALS|D
91916|SYSTEMIC ANTIBACTERIALS|J1
91915|SYSTEMIC ANTIBACTERIALS|J1
91915|ANTIVIRALS FOR SYSTEMIC USE|J5
91914|SYSTEMIC ANTIBACTERIALS|J1
91912|ANALGESICS|N2
91904|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
91901|ANALGESICS|N2
91900|PROGESTOGENS, EXCLUDING G3A, G3F|G3D
91896|Factor VIII|B2D1
91877|TRANQUILLISERS|N5C
91869|SYSTEMIC ANTIBACTERIALS|J1
91869|ANTIVIRALS FOR SYSTEMIC USE|J5
91868|ANTIPSYCHOTICS|N5A
91868|NOOTROPICS|N6D
91866|CALCIUM ANTAGONISTS|C8
91865|Statins (HMG-CoA reductase inhibitors)|C10A1
91864|IMMUNOSTIMULATING AGENTS|L3
91863|PARASITOLOGY|P
91862|PARASITOLOGY|P
91861|SYSTEMIC ANTIBACTERIALS|J1
91860|OPHTHALMOLOGICALS|S1
91859|ANALGESICS|N2
91857|ANALGESICS|N2
91854|ANALGESICS|N2
91853|OPHTHALMOLOGICALS|S1
91852|ANTI-EPILEPTICS|N3A
91849|OPHTHALMOLOGICALS|S1
91848|OPHTHALMOLOGICALS|S1
91845|SYSTEMIC ANTIBACTERIALS|J1
91841|OPHTHALMOLOGICALS|S1
91839|OPHTHALMOLOGICALS|S1
91839|Ocular antineovascularisation products|S1P
91837|ANTI-EPILEPTICS|N3A
91836|ANTI-EPILEPTICS|N3A
91824|ANTI-MALARIALS|P1D
91823|ANTI-MALARIALS|P1D
91821|RADIODIAGNOSTIC AGENTS|T1G
91795|ANTIDIARRHOEALS, ORAL ELECTROLYTE REPLACERS AND INTESTINAL ANTI-INFLAMMATORIES|A7
91794|ANTIVIRALS FOR SYSTEMIC USE|J5
91794|ANTITUSSIVES|R5D
91793|ANTIVIRALS FOR SYSTEMIC USE|J5
91793|ANTITUSSIVES|R5D
91792|ANTIVIRALS FOR SYSTEMIC USE|J5
91792|ANTITUSSIVES|R5D
91790|ANTIVIRALS FOR SYSTEMIC USE|J5
91790|ANTITUSSIVES|R5D
91788|Factor VIII|B2D1
91785|ANTIVIRALS FOR SYSTEMIC USE|J5
91785|INTERFERONS|L3B
91783|ANTIVIRALS FOR SYSTEMIC USE|J5
91783|ANTITUSSIVES|R5D
91781|PARASITOLOGY|P
91776|PARASITOLOGY|P
91755|SYSTEMIC ANTIBACTERIALS|J1
91754|ANTIVIRALS FOR SYSTEMIC USE|J5
91753|CENTRAL NERVOUS SYSTEM|N
91746|Antigrowth hormones|H1C2
91745|RESPIRATORY SYSTEM|R
91744|SYSTEMIC ANTIBACTERIALS|J1
91744|CEPHALOSPORINS|J1D
91743|MUSCULO-SKELETAL SYSTEM|M
91739|RADIODIAGNOSTIC AGENTS|T1G
91734|RADIODIAGNOSTIC AGENTS|T1G
91732|ANALGESICS|N2
