ciIndication,indication_name
14,Alzheimers disease
836,Insulin dependent diabetes
837,Non-insulin dependent diabetes
188,Inflammatory disease
291,Rheumatoid arthritis
245,Osteoarthritis
97,Diabetes mellitus
36,Autoimmune disease
277,Proteinuria
286,Renal disease
99,Diabetic complication
515,Transplant rejection
28,Arthritis
281,Psoriasis
318,Systemic lupus erythematosus
84,Crohns disease
655,Metabolic disorder
1781,Psoriatic arthritis
1076,Thrombosis
1845,Phlebothrombosis
33,Atherosclerosis
330,Restenosis
55,Cardiac failure
56,Ischemic heart disease
1731,Acute myelogenous leukemia
651,Cancer
20,Pain
637,Ischemia
80,Coronary artery disease
178,Hypertension
100,Diabetic nephropathy
224,Myocardial infarction
415,Respiratory disorder
64,Cerebrovascular disease
1024,Reperfusion injury
790,Diabetic foot ulcer
1226,Age related macular degeneration
65,Stroke
101,Diabetic neuropathy
1489,Lung injury
57,Cardiovascular disease
1867,Pulmonary hypertension
1587,Coronary thrombosis
259,Peripheral neuropathy
1559,Congestive heart failure
23,Angina
1542,Atrial fibrillation
2466,Interstitial lung disease
325,Thromboembolism
626,Heart disease
1598,Peripheral arterial occlusive disease
2569,Diabetic cardiomyopathy
1865,Intermittent claudication
1896,Systolic dysfunction
574,Deep vein thrombosis
260,Peripheral vascular disease
560,Cardiovascular inflammation
3011,Diabetic hypertension
723,Skin ulcer
584,Lipid metabolism disorder
1645,Arterial occlusive disease
1584,Unstable angina
708,Pulmonary fibrosis
402,Edema
742,Vascular disease
174,Hypercholesterolemia
27,Heart arrhythmia
731,Tachycardia
1821,Hyperglycemia
725,Solid tumor
233,Neurodegenerative disease
60,Central nervous system disease
119,Epilepsy
671,Myocardial disease
255,Parkinsons disease
62,Cerebral infarction
1557,Cardiac arrest
750,Insomnia
677,Neurological disease
834,Brain injury
67,Charcot Marie Tooth disease
353,Cognitive disorder
25,Anxiety disorder
210,Migraine
212,Motor neurone disease
3034,Status epilepticus
1295,Neuropathic pain
16,Amphetamine dependence
1774,Restless legs syndrome
213,Multiple sclerosis
132,Gaucher disease
11,Alcoholism
588,Drug dependence
998,Tinnitus
226,Nausea
239,Ocular disease
93,Depression
770,Head injury
717,Seizure disorder
2543,MELAS syndrome
2640,Common variable immunodeficiency
170,Huntingtons chorea
90,Dementia
2514,Choroid disease
1585,Syndrome X
2180,Vasospasm
215,Muscular dystrophy
848,Myasthenia gravis
1091,Bone injury
140,Growth disorder
2642,HIV-associated lipodystrophy
304,Sleep disorder
413,Immunization
425,Cachexia
88,Cystic fibrosis
19,Anesthesia
76,Cocaine addiction
328,Topical anesthesia
315,Brain hemorrhage
1258,Spinal cord injury
1084,Psychomotor disorder
282,Psychotic disorder
299,Schizophrenia
2378,Stress urinary incontinence
2377,Urge urinary incontinence
609,Genetic disorder
653,Bipolar disorder
760,Brain tumor
1490,Sleep apnea
2527,Fibromyalgia
2512,Interstitial cystitis
34,Attention deficit hyperactivity disorder
1866,Patent ductus arteriosus
1600,Telangiectasis
3003,Juvenile rheumatoid arthritis
15,Amnesia
1634,Vascular dementia
1636,Brain ischemia
208,Mental deficiency
2813,Multi-infarct dementia
812,Tremor
1836,Orthostatic hypotension
546,Atrophy
17,Anemia
1889,Cardiac hypertrophy
423,Autism
533,Mood disorder
678,Neuropathy
2974,Friedreich ataxia
2823,Optic nerve disorder
2020,Duchenne dystrophy
218,Mycobacterium infection
283,Lung disease
513,Lung infection
388,Lyme disease
727,Spinal muscular atrophy
158,HIV infection
358,Muscle spasm
1124,Herpesvirus infection
159,HIV-1 infection
1276,Female sexual dysfunction
49,Breast tumor
114,Sepsis
221,Mycobacterium tuberculosis infection
29,Aspergillus infection
2565,Polyneuropathy
2245,Gauchers disease type I
234,Neuromuscular disease
201,Liver disease
2983,Liver transplantation
1626,Coronary atherosclerosis
3064,Lewy body dementia
292,Rhinovirus infection
152,Hepatitis B virus infection
40,Bacterial infection
138,Gram positive bacterium infection
1270,Variola virus infection
157,Herpes simplex virus infection
89,Cytomegalovirus infection
191,Influenza virus infection
184,Streptococcus group B infection
102,Diarrhea
268,Plasmodium infection
124,Fungal infection
312,Streptococcus infection
485,Bacterial skin infection
2999,Acute sinusitis
1308,Candida infection
2230,Vulvovaginitis
426,Campylobacter infection
165,HSV-2 infection
1457,Pseudomonas infection
122,Flavivirus infection
2458,Dengue virus infection
1014,Tooth disease
3000,Chronic sinusitis
153,Hepatitis C virus infection
1267,MRSA infection
1281,West Nile virus infection
1775,Onychomycosis
1484,Bacterial respiratory tract infection
308,Staphylococcus aureus infection
