icd9,icd9_condition,category,super_category
1,Cholera,Intestinal infectious diseases (001-009),infectious and parasitic diseases
2,Typhoid and paratyphoid fevers,Intestinal infectious diseases (001-009),infectious and parasitic diseases
3,Other salmonella infections,Intestinal infectious diseases (001-009),infectious and parasitic diseases
4,Shigellosis,Intestinal infectious diseases (001-009),infectious and parasitic diseases
5,Other food poisoning (bacterial),Intestinal infectious diseases (001-009),infectious and parasitic diseases
6,Amebiasis,Intestinal infectious diseases (001-009),infectious and parasitic diseases
7,Other protozoal intestinal diseases,Intestinal infectious diseases (001-009),infectious and parasitic diseases
8,Intestinal infections due to other organisms,Intestinal infectious diseases (001-009),infectious and parasitic diseases
9,Ill-defined intestinal infections,Intestinal infectious diseases (001-009),infectious and parasitic diseases
10,Primary tuberculous infection,Tuberculosis (010-018),infectious and parasitic diseases
11,Pulmonary tuberculosis,Tuberculosis (010-018),infectious and parasitic diseases
12,Other respiratory tuberculosis,Tuberculosis (010-018),infectious and parasitic diseases
13,Tuberculosis of meninges and central nervous system,Tuberculosis (010-018),infectious and parasitic diseases
14,"Tuberculosis of intestines, peritoneum, and mesenteric glands",Tuberculosis (010-018),infectious and parasitic diseases
15,Tuberculosis of bones and joints,Tuberculosis (010-018),infectious and parasitic diseases
16,Tuberculosis of genitourinary system,Tuberculosis (010-018),infectious and parasitic diseases
17,Tuberculosis of other organs,Tuberculosis (010-018),infectious and parasitic diseases
18,Miliary tuberculosis,Tuberculosis (010-018),infectious and parasitic diseases
20,Plague,Zoonotic bacterial diseases (020-027),infectious and parasitic diseases
21,Tularemia,Zoonotic bacterial diseases (020-027),infectious and parasitic diseases
22,Anthrax,Zoonotic bacterial diseases (020-027),infectious and parasitic diseases
23,Brucellosis,Zoonotic bacterial diseases (020-027),infectious and parasitic diseases
24,Glanders,Zoonotic bacterial diseases (020-027),infectious and parasitic diseases
25,Melioidosis,Zoonotic bacterial diseases (020-027),infectious and parasitic diseases
26,Rat-bite fever,Zoonotic bacterial diseases (020-027),infectious and parasitic diseases
27,Other zoonotic bacterial diseases,Zoonotic bacterial diseases (020-027),infectious and parasitic diseases
30,Leprosy,Other bacterial diseases (030-041),infectious and parasitic diseases
31,Diseases due to other mycobacteria,Other bacterial diseases (030-041),infectious and parasitic diseases
32,Diphtheria,Other bacterial diseases (030-041),infectious and parasitic diseases
33,Whooping cough,Other bacterial diseases (030-041),infectious and parasitic diseases
34,Streptococcal sore throat and scarlet fever,Other bacterial diseases (030-041),infectious and parasitic diseases
35,Erysipelas,Other bacterial diseases (030-041),infectious and parasitic diseases
36,Meningococcal infection,Other bacterial diseases (030-041),infectious and parasitic diseases
37,Tetanus,Other bacterial diseases (030-041),infectious and parasitic diseases
38,Septicemia,Other bacterial diseases (030-041),infectious and parasitic diseases
39,Actinomycotic infections,Other bacterial diseases (030-041),infectious and parasitic diseases
