cortellis_condition,revised_icd9,icd9,icd9_category,icd9_sub_chapter,icd9_chapter
vibrio cholerae infection,,001,Cholera,Intestinal Infectious Diseases,Infectious And Parasitic Diseases
salmonella typhi infection,,002,Typhoid and paratyphoid fevers,Intestinal Infectious Diseases,Infectious And Parasitic Diseases
salmonella infection,,003,Other salmonella infections,Intestinal Infectious Diseases,Infectious And Parasitic Diseases
shigella infection,,004,Shigellosis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases
shigella flexneri infection,,004,Shigellosis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases
shigella sonnei infection,,004,Shigellosis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases
shigella dysenteriae infection,,004,Shigellosis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases
clostridium botulinum infection,,005,Other food poisoning (bacterial),Intestinal Infectious Diseases,Infectious And Parasitic Diseases
giardia lamblia infection,,007,Other protozoal intestinal diseases,Intestinal Infectious Diseases,Infectious And Parasitic Diseases
norwalk virus infection,,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases
rotavirus infection,,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases
clostridium infection,,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases
intestine infection,,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases
clostridium difficile infection,,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases
pseudomembranous colitis,,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases
yersinia infection,,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases
treponema infection,,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases
campylobacter jejuni infection,,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases
enterobacter aerogenes infection,,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases
streptococcus oralis infection,,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases
norovirus infection,,008,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases
mycobacterium tuberculosis infection,,011,Pulmonary tuberculosis,Tuberculosis,Infectious And Parasitic Diseases
yersinia pestis infection,,020,Plague,Zoonotic Bacterial Diseases,Infectious And Parasitic Diseases
francisella tularensis infection,,021,Tularemia,Zoonotic Bacterial Diseases,Infectious And Parasitic Diseases
bacillus anthracis infection,,022,Anthrax,Zoonotic Bacterial Diseases,Infectious And Parasitic Diseases
brucella infection,,023,Brucellosis,Zoonotic Bacterial Diseases,Infectious And Parasitic Diseases
melioidosis,,025,Melioidosis,Zoonotic Bacterial Diseases,Infectious And Parasitic Diseases
